SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,Peaks,PeakCaller
gG5_mESC_rep1,gG5,Ascl1,mESC,24h,1,../Data/chipseq_ascl1-ha/bam/gG5_mESC_HA_1_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_mESC_1_peaks.narrowPeak,narrow
gG5_mESC_rep2,gG5,Ascl1,mESC,24h,2,../Data/chipseq_ascl1-ha/bam/gG5_mESC_HA_2_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_mESC_2_peaks.narrowPeak,narrow
gG5_mESC_rep3,gG5,Ascl1,mESC,24h,3,../Data/chipseq_ascl1-ha/bam/gG5_mESC_HA_3_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_mESC_3_peaks.narrowPeak,narrow
gG5_mESC_rep4,gG5,Ascl1,mESC,24h,4,../Data/chipseq_ascl1-ha/bam/gG5_mESC_HA_4_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_mESC_4_peaks.narrowPeak,narrow
gG5_EpiLC_rep1,gG5,Ascl1,EpiLC,24h,1,../Data/chipseq_ascl1-ha/bam/gG5_EpiLC_HA_1_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_EpiLC_1_peaks.narrowPeak,narrow
gG5_EpiLC_rep2,gG5,Ascl1,EpiLC,24h,2,../Data/chipseq_ascl1-ha/bam/gG5_EpiLC_HA_2_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_EpiLC_2_peaks.narrowPeak,narrow
gG5_EpiLC_rep3,gG5,Ascl1,EpiLC,24h,3,../Data/chipseq_ascl1-ha/bam/gG5_EpiLC_HA_3_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_EpiLC_3_peaks.narrowPeak,narrow
gG5_EpiLC_rep4,gG5,Ascl1,EpiLC,24h,4,../Data/chipseq_ascl1-ha/bam/gG5_EpiLC_HA_4_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_EpiLC_4_peaks.narrowPeak,narrow
gG5_NE_rep1,gG5,Ascl1,NE,24h,1,../Data/chipseq_ascl1-ha/bam/gG5_NE_HA_1_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_NE_1_peaks.narrowPeak,narrow
gG5_NE_rep2,gG5,Ascl1,NE,24h,2,../Data/chipseq_ascl1-ha/bam/gG5_NE_HA_2_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_NE_2_peaks.narrowPeak,narrow
gG5_NE_rep4,gG5,Ascl1,NE,24h,4,../Data/chipseq_ascl1-ha/bam/gG5_NE_HA_4_markdup.bam,../Data/chipseq_ascl1-ha/peaks/gG5_NE_4_peaks.narrowPeak,narrow
C11_mESC_rep1,C11,Ascl1,mESC,24h,1,../Data/chipseq_ascl1-ha/bam/C11_mESC_HA_1_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_mESC_1_peaks.narrowPeak,narrow
C11_mESC_rep2,C11,Ascl1,mESC,24h,2,../Data/chipseq_ascl1-ha/bam/C11_mESC_HA_2_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_mESC_2_peaks.narrowPeak,narrow
C11_mESC_rep3,C11,Ascl1,mESC,24h,3,../Data/chipseq_ascl1-ha/bam/C11_mESC_HA_3_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_mESC_3_peaks.narrowPeak,narrow
C11_mESC_rep4,C11,Ascl1,mESC,24h,4,../Data/chipseq_ascl1-ha/bam/C11_mESC_HA_4_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_mESC_4_peaks.narrowPeak,narrow
C11_EpiLC_rep1,C11,Ascl1,EpiLC,24h,1,../Data/chipseq_ascl1-ha/bam/C11_EpiLC_HA_1_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_EpiLC_1_peaks.narrowPeak,narrow
C11_EpiLC_rep2,C11,Ascl1,EpiLC,24h,2,../Data/chipseq_ascl1-ha/bam/C11_EpiLC_HA_2_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_EpiLC_2_peaks.narrowPeak,narrow
C11_EpiLC_rep3,C11,Ascl1,EpiLC,24h,3,../Data/chipseq_ascl1-ha/bam/C11_EpiLC_HA_3_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_EpiLC_3_peaks.narrowPeak,narrow
C11_EpiLC_rep4,C11,Ascl1,EpiLC,24h,4,../Data/chipseq_ascl1-ha/bam/C11_EpiLC_HA_4_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_EpiLC_4_peaks.narrowPeak,narrow
C11_NE_rep1,C11,Ascl1,NE,24h,1,../Data/chipseq_ascl1-ha/bam/C11_NE_HA_1_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_NE_1_peaks.narrowPeak,narrow
C11_NE_rep2,C11,Ascl1,NE,24h,2,../Data/chipseq_ascl1-ha/bam/C11_NE_HA_2_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_NE_2_peaks.narrowPeak,narrow
C11_NE_rep3,C11,Ascl1,NE,24h,3,../Data/chipseq_ascl1-ha/bam/C11_NE_HA_3_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_NE_3_peaks.narrowPeak,narrow
C11_NE_rep4,C11,Ascl1,NE,24h,4,../Data/chipseq_ascl1-ha/bam/C11_NE_HA_4_markdup.bam,../Data/chipseq_ascl1-ha/peaks/C11_NE_4_peaks.narrowPeak,narrow
