sample,target,input
gG5_mESC_HA_1,ChIP_gG5_mESC_HA_1,ChIP_gG5_mESC_INPUT_1
gG5_mESC_HA_2,ChIP_gG5_mESC_HA_2,ChIP_gG5_mESC_INPUT_2
gG5_mESC_HA_3,ChIP_gG5_mESC_HA_3,ChIP_gG5_mESC_INPUT_3
gG5_mESC_HA_4,ChIP_gG5_mESC_HA_4,ChIP_gG5_mESC_INPUT_4
gG5_EpiLC_HA_1,ChIP_gG5_EpiLC_HA_1,ChIP_gG5_EpiLC_INPUT_1
gG5_EpiLC_HA_2,ChIP_gG5_EpiLC_HA_2,ChIP_gG5_EpiLC_INPUT_2
gG5_EpiLC_HA_3,ChIP_gG5_EpiLC_HA_3,ChIP_gG5_EpiLC_INPUT_3
gG5_EpiLC_HA_4,ChIP_gG5_EpiLC_HA_4,ChIP_gG5_EpiLC_INPUT_4
gG5_NE_HA_1,ChIP_gG5_NE_HA_1,ChIP_gG5_NE_INPUT_1
gG5_NE_HA_2,ChIP_gG5_NE_HA_2,ChIP_gG5_NE_INPUT_2
gG5_NE_HA_3,ChIP_gG5_NE_HA_3,ChIP_gG5_NE_INPUT_3
gG5_NE_HA_4,ChIP_gG5_NE_HA_4,ChIP_gG5_NE_INPUT_4
C11_mESC_HA_1,ChIP_C11_mESC_HA_1,ChIP_C11_mESC_INPUT_1
C11_mESC_HA_2,ChIP_C11_mESC_HA_2,ChIP_C11_mESC_INPUT_2
C11_mESC_HA_3,ChIP_C11_mESC_HA_3,ChIP_C11_mESC_INPUT_3
C11_mESC_HA_4,ChIP_C11_mESC_HA_4,ChIP_C11_mESC_INPUT_4
C11_EpiLC_HA_1,ChIP_C11_EpiLC_HA_1,ChIP_C11_EpiLC_INPUT_1
C11_EpiLC_HA_2,ChIP_C11_EpiLC_HA_2,ChIP_C11_EpiLC_INPUT_2
C11_EpiLC_HA_3,ChIP_C11_EpiLC_HA_3,ChIP_C11_EpiLC_INPUT_3
C11_EpiLC_HA_4,ChIP_C11_EpiLC_HA_4,ChIP_C11_EpiLC_INPUT_4
C11_NE_HA_1,ChIP_C11_NE_HA_1,ChIP_C11_NE_INPUT_1
C11_NE_HA_2,ChIP_C11_NE_HA_2,ChIP_C11_NE_INPUT_2
C11_NE_HA_3,ChIP_C11_NE_HA_3,ChIP_C11_NE_INPUT_3
C11_NE_HA_4,ChIP_C11_NE_HA_4,ChIP_C11_NE_INPUT_4
